x_value,total_1,total_2
0,1000,1000
1,1006,999
2,1007,996
3,1010,998
4,1014,1001
5,1014,1004
6,1010,1007
7,1011,1012
8,1012,1016
9,1011,1014
10,1008,1020
11,1013,1026
12,1017,1030
13,1013,1036
14,1011,1035
15,1011,1030
16,1013,1025
17,1017,1029
18,1012,1026
19,1015,1023
20,1013,1019
21,1009,1016
22,1011,1019
23,1009,1015
24,1015,1015
25,1014,1021
26,1017,1021
27,1012,1016
28,1009,1013
29,1010,1009
30,1013,1014
31,1008,1011
32,1004,1015
33,1003,1018
34,1005,1017
35,1012,1021
36,1020,1023
37,1023,1027
38,1017,1029
39,1015,1026
40,1012,1029
41,1008,1030
42,1016,1030
43,1021,1027
44,1027,1031
45,1031,1033
46,1030,1028
47,1037,1023
48,1044,1020
49,1038,1021
50,1041,1022
51,1042,1019
52,1049,1018
53,1051,1022
54,1058,1017
55,1064,1017
56,1069,1016
57,1063,1013
58,1065,1012
59,1070,1007
60,1065,1003
61,1068,998
62,1076,1002
63,1071,1004
64,1065,1009
65,1062,1006
66,1070,1010
67,1073,1010
68,1080,1007
69,1088,1011
70,1090,1015
71,1094,1020
72,1093,1026
73,1098,1032
74,1094,1027
75,1096,1032
76,1104,1028
77,1108,1034
78,1103,1036
79,1104,1041
80,1105,1040
81,1103,1040
82,1101,1041
83,1103,1045
84,1097,1047
85,1096,1042
86,1100,1044
87,1105,1040
88,1100,1045
89,1094,1049
90,1094,1046
91,1101,1052
92,1103,1058
93,1106,1060
94,1103,1058
95,1099,1053
96,1096,1058
97,1094,1055
98,1094,1059
99,1089,1059
100,1093,1054
101,1087,1057
102,1081,1055
103,1082,1056
104,1080,1057
105,1074,1058
106,1076,1053
107,1080,1052
108,1076,1054
109,1073,1060
110,1068,1061
111,1067,1063
112,1066,1059
113,1066,1061
114,1065,1059
115,1064,1065
116,1072,1070
117,1074,1066
118,1071,1070
119,1079,1069
120,1074,1070
121,1069,1069
122,1069,1064
123,1066,1061
124,1073,1056
125,1078,1058
126,1078,1060
127,1080,1056
128,1074,1061
129,1068,1066
130,1076,1063
131,1084,1058
132,1081,1057
133,1077,1055
134,1076,1060
135,1079,1056
136,1078,1058
137,1085,1063
138,1090,1065
139,1088,1070
140,1095,1068
141,1102,1066
142,1110,1071
143,1110,1074
144,1117,1077
145,1115,1080
146,1110,1078
147,1108,1080
148,1114,1081
149,1116,1079
150,1110,1075
151,1104,1074
